,title,published_date,img_url,image_url
307,"BECAUSE YOU ARE MINE, PART VIII",2012-10-07,,https://storage.googleapis.com/du-prd/books/images/9781101608562.jpg
1408,MIDST TOIL AND TRIBULATION,2012-10-07,,
1825,RULES OF CIVILITY,2012-10-07,,
2926,THE TOMBS,2012-10-07,,https://storage.googleapis.com/du-prd/books/images/9780399159268.jpg
934,FROZEN HEAT,2012-09-30,,https://storage.googleapis.com/du-prd/books/images/9781401304720.jpg
1333,LOVE UNREHEARSED,2012-09-30,,https://storage.googleapis.com/du-prd/books/images/9781476718989.jpg
3025,THIS IS HOW YOU LOSE HER,2012-09-30,,https://storage.googleapis.com/du-prd/books/images/9781594487361.jpg
1792,ROBERT B. PARKER'S FOOL ME TWICE,2012-09-30,,
2134,TELEGRAPH AVENUE,2012-09-30,,https://storage.googleapis.com/du-prd/books/images/9780061493348.jpg
305,BECAUSE YOU ARE MINE PART VII,2012-09-30,,
1237,LAST TO DIE,2012-09-30,,https://storage.googleapis.com/du-prd/books/images/9780345535955.jpg
306,"BECAUSE YOU ARE MINE, PART VI",2012-09-23,,https://storage.googleapis.com/du-prd/books/images/9781101608548.jpg
241,ARCHANGEL’S STORM,2012-09-23,,
2612,THE LOST NIGHT,2012-09-23,,https://storage.googleapis.com/du-prd/books/images/9780515152845.jpg
3289,WHERE WE BELONG,2012-09-23,,https://storage.googleapis.com/du-prd/books/images/9781429957861.jpg
1088,HOW TO DRIVE A DRAGON CRAZY,2012-09-23,,
942,GABRIEL’S INFERNO,2012-09-23,,https://storage.googleapis.com/du-prd/books/images/9780425265963.jpg
291,BEAUTIFUL DISASTER,2012-09-23,,https://storage.googleapis.com/du-prd/books/images/9781476712048.jpg
2067,STRANGER IN THE MOONLIGHT,2012-09-16,,
2206,THE BEAUTIFUL MYSTERY,2012-09-16,,https://storage.googleapis.com/du-prd/books/images/9780312655464.jpg
2939,THE UGLY DUCHESS,2012-09-16,,https://storage.googleapis.com/du-prd/books/images/9780062021731.jpg
349,BLACK LIST,2012-09-16,,https://storage.googleapis.com/du-prd/books/images/9781439193020.jpg
1554,OBSIDIAN,2012-09-16,,https://storage.googleapis.com/du-prd/books/images/9781419940330.jpg
3286,WHERE AZALEAS BLOOM,2012-09-16,,https://storage.googleapis.com/du-prd/books/images/9780778313694.jpg
304,BECAUSE YOU ARE MINE PART V,2012-09-16,,
1556,ODD APOCALYPSE,2012-09-09,,https://storage.googleapis.com/du-prd/books/images/9780553593099.jpg
673,DEEP DOWN,2012-09-09,,https://storage.googleapis.com/du-prd/books/images/9780345537102.jpg
1883,SEDUCING CINDERELLA,2012-09-09,,https://storage.googleapis.com/du-prd/books/images/9781622669493.jpg
303,BECAUSE YOU ARE MINE PART IV,2012-09-09,,
3393,ZERO DAY,2012-09-09,,https://storage.googleapis.com/du-prd/books/images/9780446573023.jpg
3249,WARDS OF FAERIE,2012-09-09,,https://storage.googleapis.com/du-prd/books/images/9780345523471.jpg
1109,"I, MICHAEL BENNETT",2012-09-02,,https://storage.googleapis.com/du-prd/books/images/9780446571807.jpg
2634,THE MARRIAGE BARGAIN,2012-09-02,,https://storage.googleapis.com/du-prd/books/images/9781620612798.jpg
2552,THE KINGMAKER’S DAUGHTER,2012-09-02,,https://storage.googleapis.com/du-prd/books/images/9781451626087.jpg
3059,TIME UNTIME,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9780312550004.jpg
732,DREAM LAKE,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9781250014276.jpg
2383,THE FALLEN ANGEL,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9780062253835.jpg
1968,SLAMMED,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/A00B006RUJST6.jpg
3381,YOU DON’T WANT TO KNOW,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9781420118537.jpg
2870,THE SPYMASTERS,2012-08-26,,
2108,SWEET TALK,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9780525952862.jpg
929,FRIENDS FOREVER,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9780385343213.jpg
2072,STYGIAN'S HONOR,2012-08-26,,https://storage.googleapis.com/du-prd/books/images/9780425246078.jpg
337,BIG SKY MOUNTAIN,2012-08-19,,https://storage.googleapis.com/du-prd/books/images/9781459234529.jpg
902,FOREVER AND A DAY,2012-08-19,,
1010,HAVEN,2012-08-19,,
2555,THE LADY IS A VAMP,2012-08-19,,
417,BROKEN HARBOR,2012-08-12,,https://storage.googleapis.com/du-prd/books/images/9780670023653.jpg
1908,SHADOW OF NIGHT,2012-08-12,,https://storage.googleapis.com/du-prd/books/images/9780670023486.jpg
2597,THE LITIGATORS,2012-08-12,,https://storage.googleapis.com/du-prd/books/images/9780385535137.jpg
1189,JUDGMENT CALL,2012-08-12,,https://storage.googleapis.com/du-prd/books/images/9780061732805.jpg
260,BACKFIRE,2012-08-12,,https://storage.googleapis.com/du-prd/books/images/9780399157325.jpg
558,CREOLE BELLE,2012-08-05,,https://storage.googleapis.com/du-prd/books/images/9781451648157.jpg
2687,THE NEXT BEST THING,2012-08-05,,https://storage.googleapis.com/du-prd/books/images/9781451617771.jpg
506,CLOSE YOUR EYES,2012-08-05,,
2457,THE GREAT ESCAPE,2012-07-29,,https://storage.googleapis.com/du-prd/books/images/9780062106063.jpg
2277,THE CHAPERONE,2012-07-29,,https://storage.googleapis.com/du-prd/books/images/9781101585658.jpg
560,CRIMINAL,2012-07-29,,https://storage.googleapis.com/du-prd/books/images/9780345528506.jpg
2523,THE INNOCENT,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780446573009.jpg
133,ABRAHAM LINCOLN: VAMPIRE HUNTER,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780446563086.jpg
750,ECHOES AT DAWN,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9781101568934.jpg
2088,SUMMERLAND,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780316099837.jpg
373,BLOODLINE,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780061785665.jpg
1841,SAMURAI GAME,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780515151541.jpg
4,11TH HOUR,2012-07-22,,https://storage.googleapis.com/du-prd/books/images/9780446571821.jpg
2166,THE AGE OF MIRACLES,2012-07-22,,
3310,WICKED NIGHTS,2012-07-15,,
2083,SUMMER NIGHTS,2012-07-15,,https://storage.googleapis.com/du-prd/books/images/9780373776870.jpg
1558,ODD INTERLUDE #3,2012-07-15,,https://storage.googleapis.com/du-prd/books/images/9780345536785.jpg
527,COMING HOME,2012-07-15,,https://storage.googleapis.com/du-prd/books/images/9780310333647.jpg
1570,ONCE BURNED,2012-07-15,,https://storage.googleapis.com/du-prd/books/images/9780062096272.jpg
2061,STOLEN PREY,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9781101584910.jpg
